zones,annee,saison,type,superficie,production,station,cloud_cover_mean_saison,et0_fao_evapotranspiration_saison,nb_jours_pluie,nb_jours_saison,precipitation_hours_saison,precipitation_sum_saison,shortwave_radiation_saison,soil_moisture_saison,soil_temperature_saison,sunshine_duration_saison,temperature_2m_mean_saison,wind_speed_10m_max_saison
Niono,2018,contre_saison,casiers,1781.03,9618.0,niono,38.65625,7.7540625,4.0,96,10,2.5,22.025625,0.13215625,30.690625,3546537.01,30.036458333333332,15.738541666666668
Molodo,2018,hivernage,casiers,11906.0,75603.1,molodo,59.5,4.950245901639343,76.0,122,415,370.6,19.70704918032787,0.21958196721311476,31.378688524590164,4125421.15,28.762295081967213,14.367213114754097
Molodo,2018,hivernage,hors_casiers,1081.38,4866.21,molodo,59.5,4.950245901639343,76.0,122,415,370.6,19.70704918032787,0.21958196721311476,31.378688524590164,4125421.15,28.762295081967213,14.367213114754097
Molodo,2018,contre_saison,casiers,1089.52,6319.0,molodo,38.597938144329895,7.750721649484537,4.0,97,10,2.5,22.019278350515464,0.1321958762886598,30.656701030927834,3585117.38,29.989690721649485,15.751546391752578
Ndebougou,2018,hivernage,casiers,19522.32,119867.04,ndebougou,58.73770491803279,5.102622950819672,77.0,122,407,397.40000000000003,19.842377049180328,0.3081967213114754,32.10327868852459,4160737.45,29.062295081967214,14.29016393442623
Ndebougou,2018,hivernage,hors_casiers,328.4,1871.88,ndebougou,58.73770491803279,5.102622950819672,77.0,122,407,397.40000000000003,19.842377049180328,0.3081967213114754,32.10327868852459,4160737.45,29.062295081967214,14.29016393442623
Ndebougou,2018,contre_saison,casiers,1672.7,9217.0,ndebougou,38.22680412371134,7.831340206185567,5.0,97,11,2.4000000000000004,22.044123711340205,0.22848453608247424,31.024742268041237,3597131.1,29.986597938144328,15.857731958762887
Kouroumari,2018,hivernage,casiers,27301.5,173910.56,kouroumari,56.295081967213115,5.416475409836065,64.0,122,322,265.4,20.234180327868852,0.2955327868852459,32.43032786885246,4248918.92,29.700819672131146,15.022131147540984
Kouroumari,2018,hivernage,hors_casiers,2513.62,13146.23,kouroumari,56.295081967213115,5.416475409836065,64.0,122,322,265.4,20.234180327868852,0.2955327868852459,32.43032786885246,4248918.92,29.700819672131146,15.022131147540984
Kouroumari,2018,contre_saison,casiers,934.74,4917.0,kouroumari,35.865979381443296,8.2559793814433,5.0,97,10,2.6,22.20886597938144,0.264659793814433,30.45876288659794,3626761.07,29.737113402061855,17.90721649484536
Mbewani,2018,hivernage,casiers,19251.63,118513.03,mbewani,60.71311475409836,4.891475409836065,78.0,122,438,393.8,19.834672131147542,0.30816393442622947,31.39016393442623,4098071.32,28.47622950819672,14.085245901639345
Mbewani,2018,hivernage,hors_casiers,472.32,2444.26,mbewani,60.71311475409836,4.891475409836065,78.0,122,438,393.8,19.834672131147542,0.30816393442622947,31.39016393442623,4098071.32,28.47622950819672,14.085245901639345
Kemacina,2019,hivernage,casiers,10271.12,65632.46,kemacina,58.77049180327869,5.1326229508196715,76.0,122,387,376.2,20.128360655737705,0.19815573770491804,31.63606557377049,4215299.26,29.492622950819673,14.760655737704917
Kemacina,2019,hivernage,hors_casiers,68.87,369.14,kemacina,58.77049180327869,5.1326229508196715,76.0,122,387,376.2,20.128360655737705,0.19815573770491804,31.63606557377049,4215299.26,29.492622950819673,14.760655737704917
Kemacina,2019,contre_saison,casiers,1508.63,8841.0,kemacina,38.525,7.621583333333334,2.0,120,6,5.4,22.259416666666667,0.13620000000000002,28.477500000000003,4541040.15,27.9125,16.051666666666666
Kolongo,2019,hivernage,casiers,10900.48,72531.79,kolongo,58.18852459016394,5.402622950819672,77.0,122,387,320.3,20.32877049180328,0.30968032786885247,33.032786885245905,4265433.0,29.854098360655737,17.145901639344263
Kolongo,2019,hivernage,hors_casiers,2245.63,11731.15,kolongo,58.18852459016394,5.402622950819672,77.0,122,387,320.3,20.32877049180328,0.30968032786885247,33.032786885245905,4265433.0,29.854098360655737,17.145901639344263
Kolongo,2019,contre_saison,casiers,751.34,4010.3,kolongo,38.44166666666667,8.023,4.0,120,11,6.1,22.370416666666664,0.2648666666666667,29.39333333333333,4549893.27,27.935833333333335,18.657500000000002
Sosse_sibila,2019,hivernage,casiers,4597.59,15250.21,sosse,60.66393442622951,4.830245901639344,83.0,122,443,424.2,19.74827868852459,0.347844262295082,31.465573770491805,4175248.56,28.997540983606555,14.680327868852459
Sosse_sibila,2019,hivernage,hors_casiers,,,sosse,60.66393442622951,4.830245901639344,83.0,122,443,424.2,19.74827868852459,0.347844262295082,31.465573770491805,4175248.56,28.997540983606555,14.680327868852459
Niono,2019,hivernage,casiers,14222.89,91168.72,niono,58.0655737704918,5.236557377049181,82.0,122,379,382.0,20.076967213114752,0.19038524590163936,32.04344262295082,4283419.76,29.75983606557377,15.078688524590165
Niono,2019,hivernage,hors_casiers,223.9,1179.95,niono,58.0655737704918,5.236557377049181,82.0,122,379,382.0,20.076967213114752,0.19038524590163936,32.04344262295082,4283419.76,29.75983606557377,15.078688524590165
Niono,2019,contre_saison,casiers,1681.56,9097.24,niono,39.05,7.756333333333333,5.0,120,7,1.7,21.910666666666668,0.13943333333333333,28.9575,4512309.83,28.006666666666668,16.973333333333333
Molodo,2019,hivernage,casiers,12178.56,75507.07,molodo,58.0655737704918,5.237540983606557,82.0,122,379,382.0,20.076967213114752,0.19038524590163936,32.06311475409836,4283419.76,29.771311475409835,15.078688524590165
Molodo,2019,hivernage,hors_casiers,955.36,4294.34,molodo,58.0655737704918,5.237540983606557,82.0,122,379,382.0,20.076967213114752,0.19038524590163936,32.06311475409836,4283419.76,29.771311475409835,15.078688524590165
Molodo,2019,contre_saison,casiers,1130.0,6859.0,molodo,39.05,7.758333333333334,5.0,120,7,1.7,21.910666666666668,0.13943333333333333,28.96833333333333,4512309.83,28.02,16.973333333333333
